No.,Starting_Point,Hub_Names_Starting,Ending_Point,Hub_Names_Ending,Distance
262,Malaysia,Kuala Lumpur International Airport (KUL),China,Guangzhou Baiyun International Airport (CAN),2604
263,Malaysia,Kuala Lumpur International Airport (KUL),China,Beijing Capital International Airport (PEK),4399
264,Malaysia,Kuala Lumpur International Airport (KUL),South Korea,Incheon International Airport (ICN),4600
265,Malaysia,Kuala Lumpur International Airport (KUL),Singapore,Singapore Changi Airport (SIN),297
266,Malaysia,Kuala Lumpur International Airport (KUL),Taiwan,Taiwan Taoyuan International Airport (TPE),3239
267,Malaysia,Kuala Lumpur International Airport (KUL),Japan,Narita International Airport (NRT),5404
268,Malaysia,Kuala Lumpur International Airport (KUL),Japan,Tokyo Haneda Airport (HND),5344
269,Malaysia,Kuala Lumpur International Airport (KUL),Thailand,Bangkok Suvarnabhumi Airport (BKK),1215
270,Malaysia,Kuala Lumpur International Airport (KUL),India,Delhi Indira Gandhi International Airport (DEL),3869
271,Malaysia,Kuala Lumpur International Airport (KUL),India,Chennai International Airport (MAA),2628
272,Malaysia,Kuala Lumpur International Airport (KUL),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),1125
273,Malaysia,Kuala Lumpur International Airport (KUL),Philippines,Manila Ninoy Aquino International Airport (MNL),2489
274,Malaysia,Kuala Lumpur International Airport (KUL),Vietnam,Tan Son Nhat International Airport (SGN),1046
275,Malaysia,Kuala Lumpur International Airport (KUL),Bangladesh,Hazrat Shahjalal International Airport (DAC),2633
276,Malaysia,Kuala Lumpur International Airport (KUL),Pakistan,Jinnah International Airport (KHI),4442
277,Malaysia,Kuala Lumpur International Airport (KUL),UAE,Dubai International Airport (DXB),5550
278,Malaysia,Kuala Lumpur International Airport (KUL),Qatar,Hamad International Airport (DOH),5911
279,Malaysia,Kuala Lumpur International Airport (KUL),Turkey,Istanbul Airport (IST),8389
280,Malaysia,Kuala Lumpur International Airport (KUL),Saudi Arabia,King Abdulaziz International Airport (JED),7071
281,Thailand,Bangkok Suvarnabhumi Airport (BKK),Hong Kong,Hong Kong International Airport (HKG),1688
